left,right,up,down
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,3.326,-0.19,0.0
0.3409999999999999,115.111,-0.271,0.0
3.921,497.482,-0.344,0.007
13.474,1226.86,-0.271,5.146
0.003,1804.7789999999995,-0.271,0.0
0.0,2371.603,-0.6520000000000001,1.174
302.5,2919.553,-0.522,183.798
219.891,3392.953000000001,-0.522,141.84
270.3,359.98900000000003,-0.41,3842.857000000001
628.975,33.955,-0.522,2399.03
0.0,0.0,-0.19,1518.962
0.0,0.073,-0.5700000000000001,1875.903
0.0,253.092,-0.5700000000000001,2215.991
0.0,2560.174,-0.344,0.0
0.0,5707.6680000000015,-0.271,262.102
0.0,0.0,-0.271,7811.8899999999985
0.0,0.0,-0.1,1115.543
0.002,79.603,-0.469,1709.226
17.317,-0.344,-0.1,1297.16
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.41,4.404999999999999,0.0,0.337
0.0,0.912,0.0,37.152
0.0,57.292,0.0,0.256
0.0,0.0,425.3,6.779
0.0,15.136,487.017,48.038
7.857,754.7389999999999,131.444,0.0
15.132,161.121,1929.137,0.0
0.0,1896.692,340.03000000000003,46.286
110.652,4298.038999999999,340.38,1055.848
0.0,1403.9,641.298,4782.142000000004
646.58,4454.505999999999,0.48,312.368
84.203,1905.693,372.674,5759.047000000001
537.4639999999999,875.664,490.102,5985.869000000001
1679.9930000000002,746.842,439.864,5863.752000000001
657.918,1315.212,1817.533,6632.594
547.841,681.99,0.0,8987.842
5662.0700000000015,1452.047,0.0,2332.288
1163.877,230.228,181.743,5532.142000000002
3995.078,-0.5700000000000001,179.442,92.172
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.41,0.0,0.0,31.375
0.0,0.0,0.0,184.087
0.0,39.711,0.0,0.0
0.0,325.491,0.0,88.36200000000001
0.0,1.151,0.024,783.535
0.0,0.001,105.154,0.0
0.0,23.723,470.88,0.0
46.2,334.453,82.752,697.8679999999999
56.213,1211.953,2703.996,740.106
598.813,5314.351999999996,1180.954,1890.848
268.993,5904.851000000001,1292.38,1063.146
1583.872,6560.950999999997,2679.913,3059.657
1213.148,7289.951000000005,2845.502,2660.878
2147.995,8099.951000000004,2989.4709999999995,4578.238000000001
2465.32,8999.951000000025,2997.013,7273.405000000002
9999.95100000004,9999.951000000056,9999.95100000004,9999.951000000015
8598.951,2434.583,879.375,1384.828
1811.635,530.385,1710.0089999999998,6506.103999999998
551.622,-0.19,2048.4010000000003,0.551
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.271,198.011,0.0,0.0
0.0,546.481,0.002,0.0
0.0,808.4279999999999,0.061,4.795
0.0,1029.8529999999998,19.899,164.974
82.244,12.455,0.0,1206.0600000000002
105.649,270.586,0.053,0.209
0.0,863.2139999999999,23.929,0.517
0.0,794.9140000000001,111.16,1535.44
93.69,3306.9940000000006,44.193,367.001
181.589,468.721,4779.504999999999,1401.667
289.424,4071.815000000001,982.094,470.321
762.4259999999999,1186.294,5881.045999999999,1619.978
1676.985,1773.334,5777.713000000001,1078.581
1123.052,2493.35,7143.6569999999965,3793.595
5914.401000000001,8099.950999999993,7627.237,6158.506000000001
7278.434,7283.299000000002,8999.951000000168,5095.486999999999
8099.951,6438.776999999998,6143.507,5345.718000000001
7289.623999999996,2106.7230000000004,3832.982,4812.588000000001
648.499,-0.19,204.776,3865.203
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.344,41.803,0.0,0.0
0.0,328.985,0.0,0.0
0.0,864.9909999999999,10.587,0.0
17.056,1155.4559999999997,79.919,12.857
151.40699999999998,1349.353000000001,0.0,362.928
89.441,1500.422,40.909,670.001
412.064,761.287,117.64,1667.5940000000005
732.453,1160.1,361.501,1837.506
362.321,3632.498000000001,8.614,0.0
130.204,436.307,4257.347999999998,493.7869999999999
0.0,2876.471,326.236,70.406
257.435,659.607,4890.490999999999,1274.0120000000002
396.23,5843.152999999999,1213.577,0.0
1066.877,6557.929999999999,1259.75,2644.283
3598.3840000000005,6315.078,7289.951000000005,4233.347
6549.637999999998,6524.721999999998,8099.951000000081,3221.549
2475.807,2809.422,7288.467999999999,3845.27
2703.4510000000005,1992.084,6542.234000000003,2820.2519999999995
5393.320000000001,-0.6520000000000001,159.204,842.365
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.19,25.237,0.0,0.0
0.0,5.359,14.705,170.723
0.0,0.299,344.355,0.0
22.584,399.47300000000007,0.0,19.617
34.192,1154.608,134.536,302.476
284.105,1616.2399999999998,253.892,577.269
718.3580000000001,1852.9609999999996,419.958,903.751
609.25,1357.7040000000002,1225.3250000000005,2058.865
0.0,282.865,2582.0579999999995,300.163
128.952,240.549,2844.013,467.531
178.88299999999998,2797.207000000001,179.824,241.106
474.702,161.532,672.0439999999999,3834.6310000000017
2237.574,3091.9,4999.214,3777.395000000001
2328.978,5886.080000000001,2942.798,1587.092
3874.047,5318.821000000002,6560.942000000001,5306.371999999998
5865.803,5727.476000000001,7289.9510000000655,2417.248
6546.780000000002,3911.415,5494.174000000001,3770.398
1552.654,1023.422,4172.92,4759.389
1271.156,-0.271,675.527,3433.052
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.469,46.947,0.02,0.0
0.045,53.268,4.019,550.741
0.0,11.46,38.726,590.4269999999999
0.0,506.3320000000001,17.673,78.206
34.003,1323.2989999999998,51.257,258.908
110.958,1806.7190000000005,319.284,164.095
494.653,846.04,647.6229999999999,2056.630999999999
1452.439,1193.9529999999995,1405.35,2287.633000000003
1448.2800000000002,1309.6850000000002,813.1799999999998,2370.143
985.718,1254.6280000000002,953.644,2665.7870000000003
1004.489,3793.7910000000006,745.5829999999999,313.806
2281.119,4304.581000000005,1412.8009999999997,2223.035
3605.046,4782.920000000017,4051.273000000001,2185.485
3837.76,5314.361000000055,5160.236,4212.056
4464.924000000001,5904.851000000053,5865.098000000003,4654.656000000001
5217.655999999998,5314.085999999998,6560.951000000095,4283.677000000001
5904.851000000032,4775.385999999999,5746.107000000002,4621.852000000001
5314.353000000003,4033.537,3479.201,3432.054
4727.544000000001,-0.9680000000000004,720.216,2149.548
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.522,0.0,0.762,160.099
0.002,96.135,68.59,928.432
40.552,237.573,87.473,1108.1230000000005
227.463,288.731,114.021,1120.292
273.041,445.688,30.299,1342.3289999999995
628.562,1846.825,517.9590000000001,440.942
1255.494,2287.6009999999987,996.832,1433.2309999999995
1981.8000000000004,2541.8190000000245,1993.669,1494.971
921.044,2824.248000000026,1915.903,2050.963
258.836,3138.0580000000214,1881.9760000000003,1938.9670000000003
316.212,3486.73600000002,2784.322,2586.7560000000008
845.56,3874.156000000017,3639.305,2901.8809999999994
1493.631,4291.514999999999,4304.623000000017,3232.876
3748.897000000001,4329.224000000001,4782.92000000002,3210.206
